0       20120921090400  203243		15279   350
0       20120921091131  203243		17516   350
1       20120921091534  203243		18734   325
1       20120921092306  203243		20991   325
2       20120921092533  203243		21720   300
2       20120921093256  203243		23940   300
3       20120921093531  203243		24714   275
3       20120921094254  203243		26915   275
4       20120921094745  203243		28358   250
4       20120921095509  203243		30596   250
5       20120921095654  203243		31124   225
5       20120921100428  203243		33340   225
6       20120921100538  203243		33694   210
6       20120921101312  203243		35899   210
7       20120921101436  203243		36300   195
7       20120921102209  203243		38520   195
8       20120921102323  203243		38880   180
8       20120921103057  203243		41030   180
9       20120921103219  203243		41433   165
9       20120921103953  203243		43677   165
10      20120921110357  203243		50803   150
10      20120921111121  203243		53002   150
11      20120921111242  203243		53400   135
11      20120921112005  203243		55614   135
12      20120921112128  203243		56028   120
12      20120921112851  203243		58173   120
13      20120921113005  203243		58530   105
13      20120921113728  203243		60742   105
14      20120921113853  203243		61159   90
14      20120921114616  203243		63340   90
15      20120921114742  203243		63772   75
15      20120921115516  203243		66055   75
16      20120921115623  203243		66377   60
16      20120921120347  203243		68563   60
17      20120921120517  203243		69004   45
17      20120921121250  203243		71254   45
18      20120921121459  203243		71894   30
18      20120921122223  203243		74100   30
19      20120921122657  203243		75480   275
19      20120921123421  203243		77691   275
20      20120921123609  203243		78224   240
20      20120921124332  203243		80406   240
21      20120921124457  203243		80830   260
21      20120921125221  203243		83011   260
22      20120921125403  203243		83517   290
22      20120921130509  203243		86795   290
