OBJECT_ID	OBJECT	TYPE_DESCRIPTION	SENSOR	NUMBER_IN_CONTAINER	V_DEPL_V	CENTER	DET_ID	DCUHARDID
30200020010006	MOD	EC_R4P.4U-S	30221844800209	2	230	HPK	470390152	3601447
30200020010008	MOD	EC_R7P.4U	30221341900103	2	203.44	VIENNA	470409968	6225279
30200020010008	MOD	EC_R7P.4U	30221441900213	3	200	HPK	470409968	6225279
30200020010010	MOD	EC_R4P.4U-S	30221844800221	2	220	HPK	470390148	6027831
30200020010011	MOD	EC_R6P.4U	30221141401126	3	220	HPK	470082244	6156619
30200020010011	MOD	EC_R6P.4U	30221241500503	2	220	HPK	470082244	6156619
30200020010013	MOD	EC_R7P.4U	30221341900216	2	160	HPK	470111464	14614143
30200020010013	MOD	EC_R7P.4U	30221441900116	3	146.81	VIENNA	470111464	14614143
30200020010014	MOD	EC_R7P.4U	30221341900210	2	202.5	VIENNA	470357232	4125303
30200020010014	MOD	EC_R7P.4U	30221441900105	3	198.32	VIENNA	470357232	4125303
30200020010015	MOD	EC_R4P.4U	30220834601916	2	250	HPK	470377612	12448727
30200020010018	MOD	EC_R7P.4U	30221341900218	2	160	HPK	470164708	13761847
30200020010018	MOD	EC_R7P.4U	30221441900221	3	178.83	VIENNA	470164708	13761847
30200020010019	MOD	EC_R4P.4U	30220834601922	2	220	HPK	470116492	4061695
30200020010020	MOD	EC_R7P.4U	30221341900101	2	174.85	VIENNA	470393580	6025855
30200020010020	MOD	EC_R7P.4U	30221441900103	3	200	HPK	470393580	6025855
30200020010021	MOD	EC_R7P.4U	30221341900120	2	200	HPK	470159844	3603071
30200020010021	MOD	EC_R7P.4U	30221441900113	3	194.24	VIENNA	470159844	3603071
30200020010022	MOD	EC_R7P.4U	30221341900212	2	160	HPK	470114792	6224271
30200020010022	MOD	EC_R7P.4U	30221441900215	3	180	HPK	470114792	6224271
30200020010024	MOD	EC_R7P.4U	30211334890302	2	141.55	VIENNA	470439908	14153331
30200020010024	MOD	EC_R7P.4U	30211434692616	3	200.57	VIENNA	470439908	14153331
30200020010025	MOD	EC_R4P.4U-S	30221844800207	2	230	HPK	470079108	5633131
30200020010029	MOD	EC_R5P.6D	30220945102120	3	150	HPK	470082218	3799495
30200020010029	MOD	EC_R5P.6D	30221044701309	2	180	HPK	470082218	3799495
30200020010030	MOD	EC_R7P.4U	30211334572641	2	247.48	VIENNA	470176232	7992651
30200020010030	MOD	EC_R7P.4U	30211434692620	3	250.49	VIENNA	470176232	7992651
30200020010031	MOD	EC_R7P.4U	30221341900205	2	180	HPK	470077940	14414391
30200020010031	MOD	EC_R7P.4U	30221441900209	3	190	HPK	470077940	14414391
30200020010034	MOD	EC_R4P.4U	30220834601923	2	232.61	VIENNA	470050180	4127703
30200020010035	MOD	EC_R7P.4U	30221341900220	2	160.5	VIENNA	470148324	5502079
30200020010035	MOD	EC_R7P.4U	30221441900223	3	186.92	VIENNA	470148324	5502079
30200020010036	MOD	EC_R4P.4U-S	30221844800211	2	220	HPK	470045060	6222171
30200020010037	MOD	EC_R4P.4U-S	30221844800234	2	220	HPK	470177672	16118571
30200020010038	MOD	EC_R4P.4U-S	30221844800232	2	220	HPK	470358148	5961051
30200020010044	MOD	EC_R7P.4U	30221341900114	2	210	HPK	470423540	6156631
