OBJECT_ID	OBJECT	TYPE_DESCRIPTION	SENSOR	NUMBER_IN_CONTAINER	V_DEPL_V	CENTER	DET_ID	DCUID	STATUS
30200020033001	MOD	IB_L34P.4D	30220224800627	2	132.96	PERUGIA	369153112	5503503	reference
30200020033002	MOD	IB_L34P.4D	30220224800628	2	131.04	PERUGIA	369173544	8057095	reference
30200020033003	MOD	IB_L34P.4D	30220224800629	2	124.26	PERUGIA	369173900	12516871	reference
30200020033004	MOD	IB_L34P.4D	30220224800630	2	135.02	PERUGIA	369175416	16709775	reference
30200020033005	MOD	IB_L34P.4D	30220224800631	2	125.88	PERUGIA	369158264	6223239	reference
30200020033007	MOD	IB_L34P.4D	30220224800633	2	128.79	PERUGIA	369171276	11926151	reference
30200020033008	MOD	IB_L34P.4D	30220224800634	2	132.88	PERUGIA	369154732	14611847	reference
30200020033009	MOD	IB_L34P.4D	30220224800601	2	137.64	PERUGIA	369157812	12253939	reference
30200020033010	MOD	IB_L34P.4D	30220224800603	2	138.14	PERUGIA	369153724	14348787	reference
30200020033011	MOD	IB_L34P.4D	30220224800604	2	141.29	PERUGIA	369175176	3537671	reference
30200020033012	MOD	IB_L34P.4D	30220224800605	2	140.69	PERUGIA	369175124	16708103	reference
30200020033013	MOD	IB_L34P.4D	30220224800606	2	142.52	PERUGIA	369174996	14086899	reference
30200020033014	MOD	IB_L34P.4D	30220224800607	2	139.05	PERUGIA	369175244	6025863	reference
30200020033016	MOD	IB_L34P.4D	30220224800609	2	130.83	PERUGIA	369157448	8257039	reference
30200020033017	MOD	IB_L34P.4D	30220224800610	2	136.19	PERUGIA	369153404	14545799	reference
30200020033018	MOD	IB_L34P.4D	30220224800611	2	139.36	PERUGIA	369175320	14417139	reference
30200020033019	MOD	IB_L34P.4D	30220224800612	2	133.77	PERUGIA	369158324	14547727	reference
30200020033020	MOD	IB_L34P.4D	30220224800613	2	132.35	PERUGIA	369157192	3602059	reference
30200020033021	MOD	IB_L34P.4D	30220224800614	2	129.53	PERUGIA	369174980	14612979	reference
30200020033022	MOD	IB_L34P.4D	30220224800615	2	134.32	PERUGIA	369174616	8256391	reference
30200020033023	MOD	IB_L34P.4D	30220224800617	2	139.36	PERUGIA	369175252	11793423	reference
30200020033024	MOD	IB_L34P.4D	30220224800618	2	124.1	PERUGIA	369174060	8254727	reference
30200020033025	MOD	IB_L34P.4D	30220224800619	2	131.72	PERUGIA	369169876	8059143	reference
30200020033026	MOD	IB_L34P.4D	30220224800620	2	135.47	PERUGIA	369157800	5701363	reference
30200020033027	MOD	IB_L34P.4D	30220224800621	2	132.6	PERUGIA	369154120	5962247	reference
30200020033028	MOD	IB_L34P.4D	30220224800623	2	131.13	PERUGIA	369175132	16643719	reference
30200020033029	MOD	IB_L34P.4D	30220224800625	2	124.84	PERUGIA	369175000	14548039	reference
30200020033031	MOD	IB_L34P.4D	30220224800636	2	137.38	PERUGIA	369158708	7730567	reference
30200020033033	MOD	IB_L34P.4D	30220224600402	2	163.78	PERUGIA	369175016	12514567	reference
30200020033034	MOD	IB_L34P.4D	30220224600403	2	162.4	PERUGIA	369169940	14089415	reference
30200020033035	MOD	IB_L34P.4D	30220224600405	2	152.7	PERUGIA	369158356	7729543	reference
30200020033037	MOD	IB_L34P.4D	30220224600408	2	164.04	PERUGIA	369175100	11924723	reference
30200020033038	MOD	IB_L34P.4D	30220224600409	2	168.24	PERUGIA	369175428	5698951	reference
30200020033039	MOD	IB_L34P.4D	30220224600410	2	165.2	PERUGIA	369158460	8256527	reference
30200020033041	MOD	IB_L34P.4D	30220224600413	2	139.94	PERUGIA	369157224	5372423	reference
30200020033042	MOD	IB_L34P.4D	30220224600414	2	139.42	PERUGIA	369174920	3928711	reference
30200020033043	MOD	IB_L34P.4D	30220224600415	2	139.83	PERUGIA	369174648	11923847	reference
30200020033045	MOD	IB_L34P.4D	30220224600417	2	130.52	PERUGIA	369158412	11664199	reference
30200020033046	MOD	IB_L34P.4D	30220224600418	2	142.9	PERUGIA	369175068	7599111	reference
30200020033047	MOD	IB_L34P.4D	30220224600419	2	136.84	PERUGIA	369169972	15858503	reference
30200020033049	MOD	IB_L34P.4D	30220224600423	2	133.13	PERUGIA	369171272	3863027	reference
30200020033050	MOD	IB_L34P.4D	30220224600424	2	139.98	PERUGIA	369158200	11663687	reference
30200020033052	MOD	IB_L34P.4D	30220224600426	2	144.98	PERUGIA	369157752	12451315	reference
30200020033053	MOD	IB_L34P.4D	30220224600427	2	126.63	PERUGIA	369175148	5502707	reference
30200020033054	MOD	IB_L34P.4D	30220224600428	2	139.77	PERUGIA	369157176	12450567	reference
30200020033055	MOD	IB_L34P.4D	30220224600430	2	131.47	PERUGIA	369173604	14548167	reference
30200020033056	MOD	IB_L34P.4D	30220224600431	2	137.81	PERUGIA	369154676	12056847	reference
30200020033057	MOD	IB_L34P.4D	30220224600219	2	147.11	PERUGIA	369157796	16446983	reference
30200020033058	MOD	IB_L34P.4D	30220224600220	2	129.09	PERUGIA	369157180	16645383	reference
