OBJECT_ID	OBJECT	TYPE_DESCRIPTION	SENSOR	NUMBER_IN_CONTAINER	V_DEPL_V	CENTER	DET_ID	DCUID	STATUS
30200020034030	MOD	ID_R1SF.6U	30221540500501	2	230	HPK	402664233	3407339	reference
30200020034031	MOD	ID_R2SB.6U	30220634502104	2	230	HPK	402672793	3406623	reference
30200020034032	MOD	ID_R2SF.6U	30220634502105	2	230	HPK	402672909	5370879	reference
30200020034033	MOD	ID_R1SB.6U	30221540500502	2	230	HPK	402676397	14087199	reference
30200020034034	MOD	ID_R1SF.6U	30221540500503	2	230	HPK	402666277	12058139	reference
30200020034035	MOD	ID_R2SB.6U	30220634502106	2	230	HPK	402666653	5634815	reference
30200020034036	MOD	ID_R2SF.6U	30220634502107	2	230	HPK	402677025	16119239	reference
30200020034038	MOD	ID_R1SF.6U	30221540500506	2	220	HPK	402672417	3602975	reference
30200020034040	MOD	ID_R2SF.6U	30220634502109	2	230	HPK	402672925	5373439	reference
30200020034041	MOD	ID_R1SB.6U	30221540500507	2	220	HPK	402674333	11926971	reference
30200020034042	MOD	ID_R1SF.6U	30221540500519	2	240	HPK	402672425	3929531	reference
30200020034043	MOD	ID_R2SB.6U	30220634502118	2	230	HPK	402668685	6222335	reference
30200020034044	MOD	ID_R2SF.6U	30220634502111	2	230	HPK	402672929	3798559	reference
30200020034045	MOD	ID_R1SB.6U	30221540500509	2	230	HPK	402676369	5504511	reference
30200020034046	MOD	ID_R1SF.6U	30221540500511	2	240	HPK	402672421	15858603	reference
30200020034047	MOD	ID_R2SB.6U	30220634502112	2	163.23	VIENNA	402674833	3406367	reference
30200020034048	MOD	ID_R2SF.6U	30220634502113	2	230	HPK	402674977	14021063	reference
30200020034049	MOD	ID_R1SB.6U	30221540500512	2	240	HPK	402674309	16184699	reference
30200020034050	MOD	ID_R1SF.6U	30221540500513	2	246.35	VIENNA	402668297	16708987	reference
30200020034051	MOD	ID_R2SB.6U	30220634502114	2	230	HPK	402664625	12186055	reference
30200020034053	MOD	ID_R1SB.6U	30221540500514	2	240	HPK	402674329	14416415	reference
30200020034054	MOD	ID_R1SF.6U	30221540500515	2	240	HPK	402664225	3667231	reference
30200020034055	MOD	ID_R2SB.6U	30220634502116	2	230	HPK	402674821	3407291	reference
30200020034056	MOD	ID_R1SB.6U	30221540500516	2	240	HPK	402664081	14022075	reference
30200020034057	MOD	ID_R1SF.6U	30221540500517	2	240	HPK	402664237	16645051	reference
30200020034058	MOD	ID_R2SB.6U	30220634502117	2	230	HPK	402676869	3603899	reference
30200020034059	MOD	ID_R1SB.6U	30221540500518	2	240	HPK	402668185	7467463	reference
30200020034074	MOD	ID_R1SF.6U	30221540500520	2	240	HPK	402664205	5897659	reference
30200020034075	MOD	ID_R2SB.6U	30220634502119	2	230	HPK	402668689	12320235	reference
30200020034076	MOD	ID_R2SF.6U	30220634502120	2	230	HPK	402674957	15990203	reference
30200020034077	MOD	ID_R1SB.6U	30221540500521	2	221.1	VIENNA	402674349	16381383	reference
30200020034078	MOD	ID_R1SF.6U	30221540500522	2	240	HPK	402676513	12318139	reference
30200020034079	MOD	ID_R2SB.6U	30220634502121	2	220	HPK	402674853	14285855	reference
30200020034080	MOD	ID_R2SF.6U	30220634502123	2	230	HPK	402674965	5895167	reference
30200020034081	MOD	ID_R1SB.6U	30221541401220	2	290	HPK	402672305	8124871	reference
30200020034088	MOD	ID_R1SF.6U	30221541401221	2	290	HPK	402672397	16380907	reference
30200020034089	MOD	ID_R2SB.6U	30220634502126	2	240	HPK	402674837	14414551	reference
30200020034090	MOD	ID_R3P.4D	30220734602102	2	210	HPK	402673444	14087723	reference
30200020034091	MOD	ID_R3P.4D	30220734602103	2	210	HPK	402673440	3863855	reference
30200020034092	MOD	ID_R3P.4D	30220734602104	2	210	HPK	402673448	12516187	reference
30200020034094	MOD	ID_R3P.4D	30220734602101	2	210	HPK	402673452	15858475	reference
30200020034095	MOD	ID_R3P.4D	30220734602106	2	210	HPK	402677452	4125999	reference
30200020034096	MOD	ID_R3P.4D	30220734602107	2	230	HPK	402677524	12448603	reference
30200020034097	MOD	ID_R3P.4D	30220734602108	2	220	HPK	402677380	5894955	reference
30200020034098	MOD	ID_R3P.4D	30220734702201	2	230	HPK	402677432	16118891	reference
30200020034099	MOD	ID_R3P.4D	30220734702202	2	220	HPK	402677392	11795499	reference
30200020034100	MOD	ID_R3P.4D	30220734702203	2	230	HPK	402669324	5373275	reference
30200020034101	MOD	ID_R3P.4D	30220734702204	2	230	HPK	402667156	11924779	reference
