OBJECT_ID	OBJECT	TYPE_DESCRIPTION	SENSOR	NUMBER_IN_CONTAINER	V_DEPL_V	CENTER	DET_ID	DCUID
30200020004001	MOD	OB_L12S.4D	30220451310408	2	207.97	PERUGIA	436249125	13890487
30200020004001	MOD	OB_L12S.4D	30220451410908	3	199.05	PERUGIA	436249125	13890487
30200020004002	MOD	OB_L12S.4D	30220451310403	2	188.95	PERUGIA	436249133	16513767
30200020004002	MOD	OB_L12S.4D	30220451411243	3	157.38	PERUGIA	436249133	16513767
30200020004003	MOD	OB_L12S.4D	30220451410912	2	192.89	PERUGIA	436249141	14154319
30200020004003	MOD	OB_L12S.4D	30220451410917	3	198.62	PERUGIA	436249141	14154319
30200020004004	MOD	OB_L12S.4D	30220451310401	2	224	HPK	436228169	3928435
30200020004004	MOD	OB_L12S.4D	30220451411242	3	225	HPK	436228169	3928435
30200020004005	MOD	OB_L12S.4D	30220451310402	2	243	HPK	436228177	8058379
30200020004005	MOD	OB_L12S.4D	30220451411241	3	229	HPK	436228177	8058379
30200020004006	MOD	OB_L12S.4D	30220451310404	2	226	HPK	436228185	3535799
30200020004006	MOD	OB_L12S.4D	30220451411240	3	215	HPK	436228185	3535799
30200020004007	MOD	OB_L12S.4D	30220451310405	2	220	HPK	436249989	5895567
30200020004007	MOD	OB_L12S.4D	30220451410921	3	251	HPK	436249989	5895567
30200020004008	MOD	OB_L12S.4D	30220451310406	2	232	HPK	436249997	14414495
30200020004008	MOD	OB_L12S.4D	30220451410920	3	237	HPK	436249997	14414495
30200020004009	MOD	OB_L12S.4D	30220451310407	2	225	HPK	436250005	3797943
30200020004009	MOD	OB_L12S.4D	30220451410919	3	256	HPK	436250005	3797943
30200020004010	MOD	OB_L12S.4D	30220451310409	2	225	HPK	436248645	5635727
30200020004010	MOD	OB_L12S.4D	30220451410918	3	249	HPK	436248645	5635727
30200020004011	MOD	OB_L12S.4D	30220451310410	2	245	HPK	436248653	6222223
30200020004011	MOD	OB_L12S.4D	30220451410916	3	238	HPK	436248653	6222223
30200020004012	MOD	OB_L12S.4D	30220451310411	2	209.68	PERUGIA	436248661	5896887
30200020004012	MOD	OB_L12S.4D	30220451410915	3	245	HPK	436248661	5896887
30200020004013	MOD	OB_L12S.4D	30220451310412	2	229	HPK	436248741	7860559
30200020004013	MOD	OB_L12S.4D	30220451410914	3	239	HPK	436248741	7860559
30200020004014	MOD	OB_L12S.4D	30220451310413	2	230	HPK	436248749	5372219
30200020004014	MOD	OB_L12S.4D	30220451410913	3	259	HPK	436248749	5372219
30200020004015	MOD	OB_L12S.4D	30220451310414	2	252	HPK	436248757	16184691
30200020004015	MOD	OB_L12S.4D	30220451410911	3	238	HPK	436248757	16184691
30200020004016	MOD	OB_L12S.4D	30220451310601	2	218.37	PERUGIA	436249061	3866191
30200020004016	MOD	OB_L12S.4D	30220451410910	3	245	HPK	436249061	3866191
30200020004018	MOD	OB_L12S.4D	30220451310603	2	241	HPK	436249069	6225011
30200020004018	MOD	OB_L12S.4D	30220451410907	3	237	HPK	436249069	6225011
30200020004020	MOD	OB_L12S.4D	30220451310605	2	255	HPK	436245609	14548151
30200020004020	MOD	OB_L12S.4D	30220451410905	3	253	HPK	436245609	14548151
30200020004021	MOD	OB_L12S.4D	30220451310606	2	222.29	PERUGIA	436245617	4127415
30200020004021	MOD	OB_L12S.4D	30220451410904	3	211.87	PERUGIA	436245617	4127415
30200020004022	MOD	OB_L12S.4D	30220451310607	2	260	HPK	436245625	4062523
30200020004022	MOD	OB_L12S.4D	30220451410903	3	241	HPK	436245625	4062523
30200020004023	MOD	OB_L12S.4D	30220451310608	2	243	HPK	436244873	13759135
30200020004023	MOD	OB_L12S.4D	30220451410902	3	243	HPK	436244873	13759135
30200020004024	MOD	OB_L12S.4D	30220451310610	2	233	HPK	436244881	7795403
30200020004024	MOD	OB_L12S.4D	30220451310626	3	217.26	PERUGIA	436244881	7795403
30200020004025	MOD	OB_L12S.4D	30220451310611	2	240	HPK	436249093	14087483
30200020004025	MOD	OB_L12S.4D	30220451310625	3	240	HPK	436249093	14087483
30200020004026	MOD	OB_L12S.4D	30220451310613	2	249	HPK	436244889	6026639
30200020004026	MOD	OB_L12S.4D	30220451310623	3	242	HPK	436244889	6026639
30200020004027	MOD	OB_L12S.4D	30220451310614	2	269	HPK	436229193	5962343
30200020004027	MOD	OB_L12S.4D	30220451310622	3	231	HPK	436229193	5962343
30200020004028	MOD	OB_L12S.4D	30220451310616	2	242	HPK	436229201	6225295
